topic_id	is_end	followers
19615981	0	285
19849104	0	78
19579723	0	268
19570679	1	18360
19550803	1	119882
19562274	0	3475
19930221	tryagain	
19552164	1	12863
19763105	0	316
19592194	1	515
19660837	0	723
19676742	0	564
19557836	1	189
19620640	0	54
19554031	0	1609
19627313	0	1526
19871973	0	162
19627170	0	69
20011825	0	14
20011827	1	18
19664997	0	48
19593938	1	309
19894921	0	97
19875201	0	549
19657420	1	143
19565661	0	745
19626490	tryagain	
19551432	1	5326210
19567245	1	12312
19642172	0	16109
19574199	1	11587
19551003	1	103840
19560170	1	3376623
19780642	0	241
19627046	1	4727
19591014	1	6303
19690472	tryagain	
19552777	tryagain	
19651851	tryagain	
19910193	0	268
19598921	1	28349
19619633	1	11106
19619015	1	2761
19873199	0	123
19660086	0	3944
19598918	1	35703
20003342	tryagain	
20015598	0	132
19934829	0	952
19935412	0	79
19844893	0	634
19601487	1	13643
19604029	1	19172
19937828	0	108
19620291	1	12527
19686059	1	442
19744719	tryagain	
19593933	0	185
19807750	0	67
20001681	1	52
19654279	1	2470
19672867	1	1447
19961408	0	1064
19592114	0	708
19592303	1	1973
19592119	1	58397
19902746	tryagain	
20026252	tryagain	
19594759	tryagain	
19612120	1	1522
19643429	0	775
19667158	0	971
19860214	1	2698
19653992	0	6286
19679186	1	770
19612146	0	10548
19827581	tryagain	
19827576	1	71
19839241	0	96
19599016	tryagain	
19839245	0	23
19625716	1	12255
19609958	0	273
19576422	1	9198
19874000	0	333
20010174	1	146
19732702	tryagain	
19631841	0	183
20010198	0	125
19865285	1	722
20029109	0	12
19712111	0	1920
19577456	1	527
19558721	1	1312
19584041	1	1283
19620122	1	1569
19670916	tryagain	
19571293	tryagain	
19620869	1	735
19558723	1	2738
19625662	0	977
19642840	0	608
19637606	0	137
19806880	1	448
19878547	1	562
19558709	1	1465
19684597	0	44
19619499	0	89
19747317	0	294
20023801	0	19
19674557	1	518
19612603	1	1482
20012407	0	223
20012404	1	194
19645232	0	338
19922219	1	548
19702659	tryagain	
19671572	0	55
19679640	0	30
20014239	0	47
20015334	0	40
19718866	0	882
19792703	1	2742
19758211	0	2046
19569555	1	2014
19752803	1	2355
19571556	tryagain	
19834862	0	1847
19586693	1	2197
20004446	1	1441
19551646	1	129291
19940718	1	1838
19648148	1	198
19801023	1	32
19741900	1	733
19767567	1	194
19643021	tryagain	
19811246	0	232
19636293	0	381
19755597	0	2338
19553148	1	64196
19577630	1	461
19589397	0	2115
19744520	1	1999
19589399	1	3373
19587064	0	8332
19603262	tryagain	
19962424	1	48
19792839	1	133
19801308	0	431
19832489	0	451
19564614	1	6800
20045438	0	1
19891525	1	557
19563674	1	16112
19665785	0	195
19599364	tryagain	
19966689	0	6
19791628	0	941
19641507	0	731
19788394	0	749
19640542	0	1920
19583021	1	878
19825026	1	59
19608839	1	2265
19599339	1	637
19556466	tryagain	
19791057	0	30
19720725	0	736
20022600	0	13
19582032	0	85
19576855	1	5599
19775986	0	463
19641354	0	1745
19679293	1	132
19718249	0	1492
19673406	0	20
19696365	0	28
19684804	0	216
19797467	0	188
19610717	0	442
19729565	0	506
19710741	0	1119
19684808	0	1159
19681118	1	10627
19607063	1	28079
19654493	tryagain	
19570611	0	181
19678483	0	620
19558736	1	5654
19830280	1	168
19551557	1	3819943
19615099	1	24340
19605114	1	1169
19794238	1	634
19597803	1	4578
20040583	0	2
20045852	0	0
20042485	0	0
20045857	0	0
20045824	0	1
19793030	0	14
20042492	0	0
19579525	0	2
19843421	1	73
19615858	1	9097
19595440	tryagain	
19865840	tryagain	
19951803	0	38
20032293	0	80
19687378	0	31
19907633	0	56
19596470	0	751
19939433	0	215
19896266	0	65
20018256	1	36
20045180	0	45
19988675	0	16
19791503	0	420
19627154	0	30
19566247	0	366
19616137	0	102
19616132	0	61
19842428	1	162
19554682	1	3296
19558360	1	9903
19564954	tryagain	
19894723	1	85
19577402	tryagain	
19939788	1	36
19579596	0	340
19645460	0	869
19732451	0	28
19588459	1	2525
19594764	1	780
20013729	0	567
19625335	tryagain	
19683360	1	24
19655612	0	4205
19740575	0	303
19668667	0	204
20037934	1	2271
19959885	1	975
19793322	1	143
19906950	0	642
19598663	0	37
19672749	tryagain	
19596688	tryagain	
19582924	tryagain	
19579268	0	171
19568769	0	10
20015358	0	8
19936984	0	34
20002178	1	21
19879685	0	56
19904166	0	12
19560334	tryagain	
19553889	0	281
19672242	tryagain	
19927678	0	58
19553892	1	788
19639177	1	663
19639650	0	29
19557781	1	19209
19611637	0	532
19604956	1	342
19930725	tryagain	
19760041	0	21
19575267	0	943
19551262	0	40056
19598224	0	448
19558472	0	1173
19552852	1	92
19583439	1	1786
19556343	1	57535
19576688	1	247
19811177	tryagain	
19824995	0	124
20001132	0	16
19865926	0	926
19589532	1	32927
19587580	1	4902
19585047	1	93
20009724	0	70
19745291	1	3329
19763625	0	421
20009698	tryagain	
20009068	0	30
19598096	0	10
19619392	0	102
19560716	1	61
20008106	0	352
19584908	0	762
19774692	1	313
19618111	1	709
19577926	1	623
19671577	tryagain	
19584059	tryagain	
19558386	1	131
19618254	0	68
19598006	0	92
19596740	0	5
19610365	1	3239
19606741	0	181
19552857	0	2350
19962275	1	76
19734975	tryagain	
19550928	tryagain	
19665403	0	106
19602240	0	17
20034987	0	40
19635364	0	1289
19642297	0	14
19552685	0	31643
19575679	1	1101
19555025	0	618
19557039	tryagain	
19597869	tryagain	
19574474	tryagain	
19577538	0	139
19901271	tryagain	
19643016	0	110
19585077	0	1475
19571769	1	2676
19618736	0	85
19620506	1	14
19567854	tryagain	
19629099	0	50
19726737	0	89
19814766	1	895
20013562	0	912
19563083	1	2981
19902305	1	315
19617482	1	30
19554285	1	40883
20004558	1	415
20021336	0	36
19597720	tryagain	
19766104	0	423
19700573	0	2363
20029644	0	162
20001749	0	11594
19707016	0	236
20007946	0	1521
19666734	0	121
19597722	0	13628
19681837	tryagain	
19576843	tryagain	
19616864	0	120
19871382	0	374
19735130	0	253
19565599	0	828
19733735	0	156
19751592	1	103
20011434	0	1687
19616945	0	87
20021966	0	2
19885928	0	177
19961364	0	54
20022966	0	107
20015416	0	36
19560464	1	5204
19692181	0	1928
19669097	0	979
19632494	0	6352
19668009	0	9872
19747368	0	144
19595696	0	125
19662101	0	99
19618178	0	378
19810912	0	18
20015512	0	3
19653853	0	157
19679015	0	192
19826203	0	983
19560462	1	11790
20023753	tryagain	
19708038	tryagain	
19627537	tryagain	
19630112	1	958
19597426	1	8125
19706080	0	108
19907792	0	1992
19679789	0	5169
19868870	0	20
19654672	0	415
19665386	tryagain	
19654677	tryagain	
19563486	tryagain	
19593845	1	11584
20004519	0	0
20003310	0	922
19626003	0	32
19654675	1	3080
19626875	1	2931
19654670	1	1667
19677942	tryagain	
20001956	0	46
20002415	0	109
20023595	1	6
20015515	0	84
20007143	1	223
19718804	1	426
19657557	1	926
19567876	1	1820
